"names","budgets","years","currencies"
"Munkbrogreven",NA,"1935",NA
"The Murder Man",NA,"1935",NA
"Murder by Television",35000,"1935","USD"
"Murder in Harlem",NA,"1935",NA
"Murder in the Fleet",NA,"1935",NA
"Murder on a Honeymoon",NA,"1935",NA
"Mutiny on the Bounty",1950000,"1935","USD"
"The Mysterious Mr. Wong",NA,"1934",NA
"Mystery of Edwin Drood",215375,"1935","USD"
"Das Mädchen Johanna",NA,"1935",NA
"Naughty Marietta",NA,"1935",NA
"The New Frontier",NA,"1935",NA
"The Night Is Young",573000,"1935","USD"
"A Night at the Opera",NA,"1935",NA
"A Night at the Ritz",NA,"1935",NA
"The Nitwits",NA,"1935",NA
"No Contest!",NA,"1934",NA
"No More Ladies",765000,"1935","USD"
"No! No! A Thousand Times No!!",NA,"1935",NA
"Nobleza baturra",NA,"1935",NA
"North of Arizona",NA,"1935",NA
"O'Shaughnessy's Boy",NA,"1935",NA
"Oil for the Lamps of China",NA,"1935",NA
"Okay Toots!",NA,"1935",NA
"The Old Grey Mayor",NA,"1935",NA
"One Hour Late",NA,"1934",NA
"One More Spring",NA,"1935",NA
"One New York Night",NA,"1935",NA
"The Operation",NA,"1930",NA
"Our Little Girl",NA,"1935",NA
"The Outlaw Deputy",12000,"1935","USD"
"Page Miss Glory",NA,"1935",NA
"Paradise Canyon",NA,"1935",NA
"Pardon My Scotch",NA,"1935",NA
"Party Wire",NA,"1935",NA
"Pasteur",NA,"1935",NA
"The Payoff",NA,"1935",NA
"The Pecos Kid",NA,"1935",NA
"The Perfect Gentleman",NA,"1935",NA
"Personal Maid's Secret",NA,"1935",NA
"Peter Ibbetson",NA,"1935",NA
"The Phantom Empire",70000,"1935","USD"
"Pirate Party on Catalina Isle",NA,"1935",NA
"Pop Goes the Easel",NA,"1935",NA
"Popular Science",NA,"1935",NA
"Powdersmoke Range",NA,"1935",NA
"Princess O'Hara",NA,"1935",NA
"Public Hero #1",NA,"1935",NA
"Pursuit",NA,"1935",NA
"The Rainmakers",NA,"1935",NA
"The Raven",115000,"1935","USD"
"Reckless",858000,"1935","USD"
"Reckless Roads",NA,"1935",NA
"Red Hot Tires",NA,"1935",NA
"Red Morning",NA,"1934",NA
"Remember Last Night?",NA,"1935",NA
"Rendezvous",NA,"1935",NA
"Rendezvous at Midnight",NA,"1935",NA
"Restless Knights",NA,"1935",NA
"The Return of Peter Grimm",NA,"1935",NA
"Riffraff",NA,"1936",NA
"The Right to Live",NA,"1935",NA
"Roberta",610000,"1935","USD"
"Rosario la cortijera",NA,"1935",NA
"Der rote Reiter",NA,"1935",NA
"Ruggles of Red Gap",NA,"1935",NA
"La ruta de Guadalupe",NA,"1935",NA
"Sagebrush Troubadour",NA,"1935",NA
"Schwarze Rosen",NA,"1935",NA
"Schwarzer Jäger Johanna",NA,"1934",NA
"The Secret Bride",NA,"1934",NA
"Secrets of Chinatown",NA,"1935",NA
"Seven Keys to Baldpate",NA,"1935",NA
"Shadow of Doubt",NA,"1935",NA
"Shanghai",NA,"1935",NA
"She",NA,"1935",NA
"Ship Cafe",NA,"1935",NA
"Shipmates Forever",NA,"1935",NA
"A Shot in the Dark",NA,"1935",NA
"Show Them No Mercy!",NA,"1935",NA
"The Silver Streak",NA,"1934",NA
"Skärgårdsflirt",NA,"1935",NA
"The Smart Set-Up",NA,"1931",NA
"Smålänningar",NA,"1935",NA
"So Red the Rose",NA,"1935",NA
"Society Doctor",NA,"1935",NA
"Special Agent",NA,"1935",NA
"Square Shooter",NA,"1935",NA
"Star Night at the Cocoanut Grove",NA,"1934",NA
"Star of Midnight",280000,"1935","USD"
"Stars Over Broadway",NA,"1935",NA
"Steamboat Round the Bend",NA,"1935",NA
"Stranded",NA,"1935",NA
"Strangers All",NA,"1935",NA
"Stützen der Gesellschaft",NA,"1935",NA
"Sylvia Scarlett",1e+06,"1935","USD"
"Symphony in Black: A Rhapsody of Negro Life",NA,"1935",NA
"A Tale of Two Cities",NA,"1935",NA
"Teacher's Beau",NA,"1935",NA
"Temptation",15000,"1935","USD"
"Texas Terror",NA,"1935",NA
"Thanks a Million",NA,"1935",NA
"Thicker Than Water",NA,"1935",NA
"Three Kids and a Queen",NA,"1935",NA
"Three Little Beers",NA,"1935",NA
"Three Live Ghosts",NA,"1936",NA
"The Three Musketeers",NA,"1935",NA
"Thunder in the Night",NA,"1935",NA
"Times Square Lady",NA,"1935",NA
"Tit for Tat",NA,"1935",NA
"Tjocka släkten",NA,"1935",NA
"Tôkyô no yado",NA,"1935",NA
"Top Hat",609000,"1935","USD"
"Transient Lady",NA,"1935",NA
"Traveling Saleslady",NA,"1935",NA
"Tumbling Tumbleweeds",12500,"1935","USD"
"Uncivil Warriors",NA,"1935",NA
"Under falsk flagg",NA,"1935",NA
"Undercover Men",30000,"1934","CAD"
"Ungkarlspappan",NA,"1935",NA
"Valborgsmässoafton",NA,"1935",NA
"Vanessa: Her Love Story",NA,"1935",NA
"Varieté",NA,"1935",NA
"Viktoria",NA,"1935",NA
"Village Tale",NA,"1935",NA
"Way Down East",NA,"1935",NA
"We're Only Human",NA,"1935",NA
"We're in the Money",NA,"1935",NA
"The Wedding Night",NA,"1935",NA
"Werewolf of London",195393,"1935","USD"
"West Point of the Air",NA,"1935",NA
"Westward Ho",35000,"1935","USD"
"When the Cat's Away",NA,"1935",NA
"While the Patient Slept",NA,"1935",NA
"Whipsaw",238000,"1935","USD"
"The White Cockatoo",NA,"1935",NA
"The Whole Town's Talking",NA,"1935",NA
"Wings in the Dark",NA,"1935",NA
"The Winning Ticket",NA,"1935",NA
"Without Regret",NA,"1935",NA
"Woman Wanted",NA,"1935",NA
"The Woman in Red",NA,"1935",NA
"36 Hours to Kill",NA,"1936",NA
"65, 66 och jag",NA,"1936",NA
"Absolute Quiet",NA,"1936",NA
"Accent on Girls",NA,"1935",NA
"The Accusing Finger",NA,"1936",NA
"Aces and Eights",NA,"1936",NA
"Adventure in Manhattan",NA,"1936",NA
"After the Thin Man",683000,"1936","USD"
"All American Chump",NA,"1936",NA
"An All American Toothache",NA,"1936",NA
"Allegretto",NA,"1936",NA
"And So They Were Married",NA,"1936",NA
"Anthony Adverse",1050500,"1936","USD"
"Ants in the Pantry",NA,"1936",NA
"Anything Goes",1100000,"1936","USD"
"Arbor Day",NA,"1936",NA
"As You Like It",NA,"1936",NA
"Avenging Waters",NA,"1936",NA
"Aventure à Paris",NA,"1936",NA
"Banjo on My Knee",NA,"1936",NA
"Bar 20 Rides Again",NA,"1935",NA
"Les bas-fonds",NA,"1936",NA
"Be Human",NA,"1936",NA
"La belle équipe",NA,"1936",NA
"Betty Boop and Little Jimmy",NA,"1936",NA
"Betty Boop and the Little King",NA,"1936",NA
"The Big Game",NA,"1936",NA
"The Big Noise",NA,"1936",NA
"The Big Show",NA,"1936",NA
"Bingo Crosbyana",NA,"1936",NA
"Black Legion",235000,"1937","USD"
"Blazing Justice",NA,"1936",NA
"Bocage",NA,"1936",NA
"Boccaccio",NA,"1936",NA
"The Bohemian Girl",NA,"1936",NA
"The Bold Caballero",1e+05,"1936","USD"
"Boom Boom",NA,"1936",NA
"Born to Dance",NA,"1936",NA
"Boulder Dam",NA,"1936",NA
"Boulevardier from the Bronx",NA,"1936",NA
"The Bride Walks Out",NA,"1936",NA
"Brides Are Like That",NA,"1936",NA
"Bullets or Ballots",NA,"1936",NA
"Bunker Bean",NA,"1936",NA
"Cain and Mabel",NA,"1936",NA
"California Mail",NA,"1936",NA
"Captain January",NA,"1936",NA
"The Case of the Black Cat",NA,"1936",NA
"The Case of the Velvet Claws",NA,"1936",NA
"Champagne Charlie",NA,"1936",NA
"The Charge of the Light Brigade",1200000,"1936","USD"
"Charlie Chan at the Circus",NA,"1936",NA
"Charlie Chan at the Opera",NA,"1936",NA
"Charlie Chan at the Race Track",NA,"1936",NA
"Charlie Chan's Secret",NA,"1936",NA
"Chatterbox",NA,"1936",NA
"China Clipper",NA,"1936",NA
"Club de femmes",NA,"1936",NA
"Colleen",NA,"1936",NA
"Come Closer, Folks",NA,"1936",NA
"Come and Get It",NA,"1936",NA
"Comin' 'Round the Mountain",NA,"1936",NA
"The CooCoo Nut Grove",NA,"1936",NA
"The Country Doctor",NA,"1936",NA
"Country Gentlemen",NA,"1936",NA
"The Cowboy Star",NA,"1936",NA
"Crack-Up",NA,"1936",NA
"Craig's Wife",3e+05,"1936","USD"
"The Crime Patrol",NA,"1936",NA
"Le crime de Monsieur Lange",NA,"1936",NA
"Criminal Lawyer",NA,"1937",NA
"César",NA,"1936",NA
"Dancing Feet",NA,"1936",NA
"Daniel Boone",NA,"1936",NA
"The Dark Hour",NA,"1936",NA
"Darkest Africa",119343,"1936","USD"
"Desire",1200000,"1936","USD"
"The Devil Is a Sissy",NA,"1936",NA
"The Devil-Doll",NA,"1936",NA
"Dimples",NA,"1936",NA
"Disorder in the Court",NA,"1936",NA
"Divot Diggers",NA,"1936",NA
"Dodsworth",NA,"1936",NA
"Don Floripondio",NA,"1939",NA
"Don't Turn 'em Loose",NA,"1936",NA
"Dracula's Daughter",NA,"1936",NA
"Earthworm Tractors",NA,"1936",NA
"Empty Saddles",NA,"1936",NA
"Every Sunday",NA,"1936",NA
"Die ewige Maske",NA,"1935",NA
"The Ex-Mrs. Bradford",369000,"1936","USD"
"False Alarms",NA,"1936",NA
"Familjens hemlighet",NA,"1936",NA
"Fantasia sottomarina",NA,"1940",NA
"Fantômas",NA,"1932",NA
"Fast Bullets",NA,"1936",NA
"La Fiesta de Santa Barbara",NA,"1935",NA
"Flash Gordon",360000,"1936","USD"
"Flitterwochen",NA,"1936",NA
"Follow the Fleet",747000,"1936","USD"
"For the Love of Pete",NA,"1936",NA
"Frankie and Johnnie",NA,"1936",NA
"Eine Frau ohne Bedeutung",NA,"1936",NA
"Freshman Love",NA,"1936",NA
"Frontier Justice",NA,"1935",NA
"Fräulein Veronika",NA,"1936",NA
"Fury",NA,"1936",NA
"Fährmann Maria",NA,"1936",NA
"Gambling with Souls",NA,"1936",NA
"The Garden Murder Case",NA,"1936",NA
"The Garden of Allah",2200000,"1936","USD"
"La garçonne",NA,"1936",NA
"The General Died at Dawn",NA,"1936",NA
"General Spanky",NA,"1936",NA
"Ghost Patrol",NA,"1936",NA
"Ghost-Town Gold",NA,"1936",NA
"The Girl from Mandalay",NA,"1936",NA
"Girl Overboard",NA,"1937",NA
"Girls' Dormitory",NA,"1936",NA
"Give Me Liberty",NA,"1936",NA
"Give Me Your Heart",NA,"1936",NA
"Gleisdreieck",NA,"1937",NA
"Go West Young Man",NA,"1936",NA
"Gold Diggers of 1937",NA,"1936",NA
"The Golden Arrow",NA,"1936",NA
"The Gorgeous Hussy",1119000,"1936","USD"
"Grampy's Indoor Outing",NA,"1936",NA
"Grand Slam Opera",NA,"1936",NA
"Great Guy",NA,"1936",NA
"The Great Ziegfeld",NA,"1936",NA
"The Green Pastures",NA,"1936",NA
"Guns and Guitars",NA,"1936",NA
"Half Shot Shooters",NA,"1936",NA
"Happy You and Merry Me",NA,"1936",NA
"Hearts Divided",NA,"1936",NA
"Hearts in Bondage",NA,"1936",NA
"Heroes of the Range",NA,"1936",NA
"Hi, Gaucho!",NA,"1935",NA
"His Brother's Wife",NA,"1936",NA
"His Family Tree",NA,"1935",NA
"Hitch Hike to Heaven",NA,"1936",NA
"Hitori musuko",NA,"1936",NA
"Das Hofkonzert",NA,"1936",NA
"Hopalong Cassidy Returns",NA,"1936",NA
"Hot Money",NA,"1936",NA
"How to Vote",NA,"1936",NA
"I Can't Escape from You",NA,"1936",NA
"I Don't Want to Make History",NA,"1936",NA
"I Feel Like a Feather in the Breeze",NA,"1936",NA
"I Love to Singa",NA,"1936",NA
"I Married a Doctor",NA,"1936",NA
"I'm in the Army Now",NA,"1936",NA
"Important News",NA,"1936",NA
"Inkognito",NA,"1936",NA
"The Invisible Ray",NA,"1936",NA
"Isle of Fury",NA,"1936",NA
"Jailbreak",NA,"1936",NA
"Johan Ulfstjerna",NA,"1936",NA
"The Jungle Princess",3e+05,"1936","USD"
"Kater Lampe",NA,"1936",NA
"Kelly the Second",NA,"1936",NA
"King of Hockey",NA,"1936",NA
"Klondike Annie",NA,"1936",NA
"Königswalzer",NA,"1935",NA
"Ladies in Love",NA,"1936",NA
"The Lady Consents",NA,"1936",NA
"Lady of Secrets",NA,"1936",NA
"The Last Outlaw",NA,"1936",NA
"The Last of the Mohicans",NA,"1936",NA
"The Law in Her Hands",NA,"1936",NA
"Let It Be Me",NA,"1936",NA
"Libeled Lady",NA,"1936",NA
"Lightnin' Bill Carson",NA,"1936",NA
"Little Lord Fauntleroy",NA,"1936",NA
"Little Nobody",NA,"1936",NA
"The Little Red Schoolhouse",NA,"1936",NA
"Little Swee'pea",NA,"1936",NA
"Lloyd's of London",850000,"1936","USD"
"The Lonely Trail",NA,"1936",NA
"The Longest Night",NA,"1936",NA
"Love Before Breakfast",NA,"1936",NA
"Love Begins at Twenty",NA,"1936",NA
"Love on a Bet",NA,"1936",NA
"Love on the Run",578000,"1936","USD"
"The Luckiest Girl in the World",NA,"1936",NA
"The Lucky Corner",NA,"1936",NA
"M'Liss",NA,"1936",NA
"Mad Holiday",NA,"1936",NA
"Making Friends",NA,"1936",NA
"Man Hunt",NA,"1936",NA
"Mary of Scotland",NA,"1936",NA
"Men Are Not Gods",NA,"1936",NA
"A Message to Garcia",NA,"1936",NA
"The Milky Way",1032000,"1936","USD"
"The Mine with the Iron Door",NA,"1936",NA
"Mister Cinderella",NA,"1936",NA
"Modern Times",1500000,"1936","USD"
"Moonlight Murder",NA,"1936",NA
"Moonlight on the Prairie",NA,"1935",NA
"More Pep",NA,"1936",NA
"More Than a Secretary",NA,"1936",NA
"Movie Maniacs",NA,"1936",NA
"Mr. Cohen Takes a Walk",NA,"1935",NA
"Mr. Deeds Goes to Town",NA,"1936",NA
"Mummy's Boys",NA,"1936",NA
"Murder by an Aristocrat",NA,"1936",NA
"The Murder of Dr. Harrigan",NA,"1936",NA
"Murder on a Bridle Path",NA,"1936",NA
"Muss 'em Up",NA,"1936",NA
"My Man Godfrey",656000,"1936","USD"
"The Mysterious Avenger",NA,"1936",NA
"Night Waitress",NA,"1936",NA
"Tudor Rose",NA,"1936",NA
"No Other One",NA,"1936",NA
"Not Now",NA,"1936",NA
"The Old Corral",NA,"1936",NA
"Old Hutch",NA,"1936",NA
"The Old Mill Pond",NA,"1936",NA
"One Rainy Afternoon",511383,"1936","USD"
"One in a Million",NA,"1936",NA
"The Oregon Trail",NA,"1936",NA
"Our Relations",NA,"1936",NA
"Outlaws of the Range",NA,"1936",NA
"Page Miss Glory",NA,"1936",NA
"A Pain in the Pullman",NA,"1936",NA
"Pennies from Heaven",NA,"1936",NA
"The Petrified Forest",5e+05,"1936","USD"
"Petticoat Fever",NA,"1936",NA
"The Phantom Ship",NA,"1936",NA
"The Phantom of the Range",NA,"1936",NA
"Piccadilly Jim",NA,"1936",NA
"Pigskin Parade",NA,"1936",NA
"The Plainsman",NA,"1936",NA
"The Plot Thickens",NA,"1936",NA
"Polo Joe",NA,"1936",NA
"Poor Little Rich Girl",NA,"1936",NA
"Popeye the Sailor Meets Sindbad the Sailor",NA,"1936",NA
"Poppy",NA,"1936",NA
"Popular Science",NA,"1936",NA
"Popular Science",NA,"1936",NA
"Postal Inspector",NA,"1936",NA
"The President's Mystery",NA,"1936",NA
"The Princess Comes Across",NA,"1936",NA
"The Prisoner of Shark Island",NA,"1936",NA
"Private Number",NA,"1936",NA
"Public Enemy's Wife",NA,"1936",NA
"The Public Pays",NA,"1936",NA
"The Pups' Christmas",NA,"1936",NA
"På solsidan",NA,"1936",NA
"Racing Lady",NA,"1937",NA
"Ramona",6e+05,"1936","USD"
"Red River Valley",75000,"1936","USD"
"Red Wagon",80000,"1933","GBP"
"Rembrandt",NA,"1936",NA
"We're in the Legion Now",NA,"1936",NA
"Ride, Ranger, Ride",NA,"1936",NA
"Ritt in die Freiheit",NA,"1937",NA
"Road Gang",NA,"1936",NA
"The Road to Glory",NA,"1936",NA
"Robin Hood of El Dorado",NA,"1936",NA
"Robinson Crusoe of Clipper Island",NA,"1936",NA
"Romeo and Juliet",NA,"1936",NA
"Rose-Marie",NA,"1936",NA
"Sabotage",NA,"1936",NA
"San Francisco",1300000,"1936","USD"
"Satan Met a Lady",NA,"1936",NA
"Das Schloß in Flandern",NA,"1936",NA
"Schlußakkord",NA,"1936",NA
"Secret Agent",NA,"1936",NA
"Secret Patrol",NA,"1936",NA
"Show Boat",NA,"1936",NA
"Silly Billies",NA,"1936",NA
"Sing Me a Love Song",NA,"1936",NA
"The Singing Cowboy",NA,"1936",NA
"The Singing Kid",NA,"1936",NA
"The Singing Vagabond",NA,"1935",NA
"Slippery Silks",NA,"1936",NA
"Small Town Girl",NA,"1936",NA
"Smartest Girl in Town",NA,"1936",NA
"Snowed Under",NA,"1936",NA
"Song of the Gringo",NA,"1936",NA
"Song of the Saddle",NA,"1936",NA
"Sons o' Guns",NA,"1936",NA
"Special Investigator",NA,"1936",NA
"Speed",NA,"1936",NA
"Spiel an Bord",NA,"1936",NA
"Stadt Anatol",NA,"1936",NA
"Stage Struck",NA,"1936",NA
"Stampede",NA,"1936",NA
"Stolen Holiday",NA,"1937",NA
"The Story of Louis Pasteur",NA,"1936",NA
"Stowaway",NA,"1936",NA
"Strike Me Pink",NA,"1936",NA
"Die Stunde der Versuchung",NA,"1936",NA
"Sutter's Gold",2e+06,"1936","USD"
"Suzy",614000,"1936","USD"
"Swing Time",886000,"1936","USD"
"Sworn Enemy",NA,"1936",NA
"Söder om landsvägen",NA,"1936",NA
"Tarzan Escapes",1058000,"1936","USD"
"Tell Your Children",NA,"1936",NA
"The Texas Rangers",NA,"1936",NA
"Thank You, Jeeves!",NA,"1936",NA
"That Girl from Paris",NA,"1936",NA
"Theodora Goes Wild",NA,"1936",NA
"These Three",NA,"1936",NA
"They Met in a Taxi",NA,"1936",NA
"Things to Come",3e+05,"1936","GBP"
"Three Godfathers",NA,"1936",NA
"Three Men on a Horse",NA,"1936",NA
"Three Smart Girls",326000,"1936","USD"
"Till We Meet Again",NA,"1936",NA
"Times Square Playboy",NA,"1936",NA
"Tough Guy",NA,"1936",NA
"Toy Town Hall",NA,"1936",NA
"Trail Dust",NA,"1936",NA
"Trailin' West",NA,"1936",NA
"Treachery Rides the Range",NA,"1936",NA
"Trouble for Two",NA,"1936",NA
"Truxa",NA,"1937",NA
"Tugboat Princess",NA,"1936",NA
"Two Against the World",NA,"1936",NA
"Two in Revolt",NA,"1936",NA
"Two in a Crowd",NA,"1936",NA
"Two in the Dark",NA,"1936",NA
"Und du mein Schatz fährst mit",NA,"1937",NA
"Under Southern Stars",NA,"1937",NA
"Under Two Flags",1500000,"1936","USD"
"Undersea Kingdom",99000,"1936","USD"
"Partie de campagne",NA,"1936",NA
"The Unguarded Hour",NA,"1936",NA
"The Unknown Ranger",NA,"1936",NA
"Die unmögliche Frau",NA,"1936",NA
"Verräter",NA,"1936",NA
"La vie est à nous",NA,"1936",NA
"The Vigilantes Are Coming",NA,"1936",NA
"The Voice of Bugle Ann",NA,"1936",NA
"Våran pojke",NA,"1936",NA
"The Walking Dead",217000,"1936","USD"
"Walking on Air",NA,"1936",NA
"Wanted -- A Master",NA,"1936",NA
"Wanted! Jane Turner",NA,"1936",NA
"We Went to College",NA,"1936",NA
"We Who Are About to Die",NA,"1937",NA
"Wenn der Hahn kräht",NA,"1936",NA
"When Knights Were Bold",NA,"1936",NA
"The White Angel",NA,"1936",NA
"White Fang",NA,"1936",NA
"Whoops, I'm an Indian!",NA,"1936",NA
"Wife vs. Secretary",519000,"1936","USD"
"Winds of the Wasteland",NA,"1936",NA
"Winterset",NA,"1936",NA
"Without Orders",NA,"1936",NA
"The Witness Chair",NA,"1936",NA
"A Woman Rebels",NA,"1936",NA
"Women Are Trouble",NA,"1936",NA
"Yellow Dust",NA,"1936",NA
"Yours for the Asking",NA,"1936",NA
"Adolf Armstarke",NA,"1937",NA
"Adventure's End",90000,"1937","USD"
"The Adventurous Blonde",NA,"1937",NA
"Affairs of Cappy Ricks",NA,"1937",NA
"Alarm in Peking",NA,"1937",NA
"Alcatraz Island",NA,"1937",NA
"Ali Baba Goes to Town",1e+06,"1937","USD"
"L'alibi",NA,"1937",NA
"Angel",NA,"1937",NA
"Annapolis Salute",NA,"1937",NA
"Another Dawn",NA,"1937",NA
"As Good as Married",NA,"1937",NA
"The Awful Truth",NA,"1937",NA
"Back in Circulation",NA,"1937",NA
"Back to the Woods",NA,"1937",NA
"Bad Guy",NA,"1937",NA
"The Man Who Found Himself",NA,"1937",NA
"Beg, Borrow or Steal",NA,"1937",NA
"Behind the Headlines",NA,"1937",NA
"Between Two Women",NA,"1937",NA
"Der Biberpelz",NA,"1937",NA
"Big City",NA,"1937",NA
"Blazing Sixes",NA,"1937",NA
"Boots and Saddles",NA,"1937",NA
"Border Cafe",NA,"1937",NA
"Borderland",NA,"1937",NA
"Born Reckless",NA,"1937",NA
"Boss of Lonely Valley",NA,"1937",NA
"Breakfast for Two",NA,"1937",NA
"The Bride Wore Red",NA,"1937",NA
"Brief Ecstasy",NA,"1937",NA
"Brillanten",NA,"1937",NA
"Broadway Melody of 1938",NA,"1937",NA
"Brothers of the West",6000,"1937","USD"
"Café Metropole",NA,"1937",NA
"Call It a Day",NA,"1937",NA
"Camille",1486000,"1936","USD"
"The Candid Candidate",NA,"1937",NA
"The Captain's Kid",NA,"1936",NA
"Captains Courageous",1645000,"1937","USD"
"Cargaison blanche",NA,"1937",NA
"The Case of the Stuttering Bishop",NA,"1937",NA
"Cash and Carry",NA,"1937",NA
"Charlie Chan at Monte Carlo",NA,"1937",NA
"Charlie Chan at the Olympics",NA,"1937",NA
"Charlie Chan on Broadway",NA,"1937",NA
"The Cherokee Strip",NA,"1937",NA
"Cheyenne Rides Again",6000,"1937","USD"
"China Passage",NA,"1937",NA
"Condottieri",NA,"1937",NA
"Confession",513000,"1937","USD"
"Conquest",2732000,"1937","USD"
"Daily Beauty Rituals",NA,"1937",NA
"Damaged Lives",10000,"1933","USD"
"A Damsel in Distress",1035000,"1937","USD"
"Dance Charlie Dance",NA,"1937",NA
"Danger Patrol",NA,"1937",NA
"Dangerous Number",NA,"1937",NA
"Dark Journey",NA,"1937",NA
"Dark Manhattan",24900,"1937","USD"
"Daughter of Shanghai",NA,"1937",NA
"A Day at the Races",NA,"1937",NA
"Dead End",3e+05,"1937","USD"
"Devil's Playground",NA,"1937",NA
"The Devil's Saddle Legion",NA,"1937",NA
"Dick Tracy",NA,"1937",NA
"Ding Dong Doggie",NA,"1937",NA
"Dizzy Doctors",NA,"1937",NA
"Don Donald",NA,"1937",NA
"The Kid Comes Back",NA,"1938",NA
"Don't Tell the Wife",NA,"1937",NA
"Double Exposures",NA,"1937",NA
"Double Wedding",NA,"1937",NA
"Double or Nothing",NA,"1937",NA
"Draegerman Courage",NA,"1937",NA
"Dreaming Lips",NA,"1937",NA
"De drie wensen",44000,"1937","NLG"
"Easy Living",NA,"1937",NA
"Ebb Tide",NA,"1937",NA
"The Edge of the World",20000,"1937","GBP"
"Egghead Rides Again",NA,"1937",NA
"Elephant Boy",NA,"1937",NA
"The Emperor's Candlesticks",NA,"1937",NA
"Empty Holsters",NA,"1937",NA
"Ever Since Eve",NA,"1937",NA
"Faisons un rêve...",NA,"1936",NA
"A Family Affair",190000,"1937","USD"
"Feud of the Trail",6000,"1937","USD"
"Fight for Your Lady",NA,"1937",NA
"Fire Over England",NA,"1937",NA
"The Firefly",NA,"1937",NA
"First Lady",NA,"1937",NA
"Die Fledermaus",NA,"1937",NA
"Flight from Glory",NA,"1937",NA
"Fly Away Baby",NA,"1937",NA
"The Footloose Heiress",NA,"1937",NA
"Forty Naughty Girls",NA,"1937",NA
"The Foxy Hunter",NA,"1937",NA
"L'homme de nulle part",NA,"1937",NA
"Fugitive in the Sky",NA,"1936",NA
"Fury and the Woman",NA,"1936",NA
"Gabriele: eins, zwei, drei",NA,"1937",NA
"Die ganz großen Torheiten",NA,"1937",NA
"Gasparone",NA,"1937",NA
"The Girl Said No",70000,"1937","USD"
"Git Along Little Dogies",NA,"1937",NA
"The Go Getter",NA,"1937",NA
"God's Country and the Woman",NA,"1937",NA
"The Good Earth",2800000,"1937","USD"
"Good Old Soak",NA,"1937",NA
"La grande illusion",NA,"1937",NA
"The Great Barrier",NA,"1937",NA
"The Great Garrick",NA,"1937",NA
"The Great O'Malley",NA,"1937",NA
"Green Fields",8000,"1937","USD"
"Green Light",NA,"1937",NA
"Grips, Grunts and Groans",NA,"1937",NA
"Guns of the Pecos",NA,"1937",NA
"Gunsmoke Ranch",35000,"1937","USD"
"La Habanera",NA,"1937",NA
"Regain",NA,"1937",NA
"Hawaiian Holiday",NA,"1937",NA
"Headin' East",NA,"1937",NA
"Heidi",NA,"1937",NA
"Her Husband's Secretary",NA,"1937",NA
"Der Herrscher",NA,"1937",NA
"Hideaway",NA,"1937",NA
"High Flyers",NA,"1937",NA
"High, Wide, and Handsome",1900000,"1937","USD"
"Hills of Old Wyoming",NA,"1937",NA
"History Is Made at Night",NA,"1937",NA
"The Hit Parade",5e+05,"1937","USD"
"Hitting a New High",NA,"1937",NA
"Hollywood Hotel",NA,"1937",NA
"Hollywood Stadium Mystery",NA,"1938",NA
"Hopalong Rides Again",NA,"1937",NA
"The Hot Air Salesman",NA,"1937",NA
"House Cleaning Blues",NA,"1937",NA
"The House of Secrets",NA,"1936",NA
"The Hurricane",2e+06,"1937","USD"
"I Cover the War!",70000,"1937","USD"
"I Met Him in Paris",5e+05,"1937","USD"
"I Never Changes My Altitude",NA,"1937",NA
"I Only Have Eyes for You",NA,"1937",NA
"The Impractical Joker",NA,"1937",NA
"In Old Chicago",1800000,"1937","USD"
"Internes Can't Take Money",NA,"1937",NA
"It Could Happen to You!",NA,"1937",NA
"It's Love I'm After",NA,"1937",NA
"John Ericsson - segraren vid Hampton Roads",NA,"1937",NA
"Juurakon Hulda",NA,"1937",NA
"Karussell",NA,"1937",NA
"Kid Galahad",NA,"1937",NA
"King Solomon's Mines",NA,"1937",NA
"The King and the Chorus Girl",NA,"1937",NA
"Knight Without Armour",NA,"1937",NA
"Konflikt",NA,"1937",NA
"Die Kronzeugin",NA,"1937",NA
"Lancer Spy",NA,"1937",NA
"Land Beyond the Law",NA,"1937",NA
"The Last Gangster",NA,"1937",NA
"The Last Train from Madrid",NA,"1937",NA
"The Last of Mrs. Cheyney",741000,"1937","USD"
"Let's Make a Night of It",NA,"1937",NA
"The Life of the Party",NA,"1937",NA
"The Life of Emile Zola",NA,"1937",NA
"Little Red Walking Hood",NA,"1937",NA
"Live, Love and Learn",NA,"1937",NA
"Living on Love",NA,"1937",NA
"London by Night",NA,"1937",NA
"London Melody",NA,"1937",NA
"Lost Horizon",4e+06,"1937","USD"
"Lost Ranch",6000,"1937","USD"
"Love Is News",NA,"1937",NA
"Love Is on the Air",NA,"1937",NA
"Love Under Fire",NA,"1937",NA
"Love and Hisses",NA,"1937",NA
"Love in a Bungalow",NA,"1937",NA
"Madame X",NA,"1937",NA
"Maid of Salem",NA,"1937",NA
"Mail and Female",19962,"1937","USD"
"Make Way for Tomorrow",NA,"1937",NA
"Make a Wish",NA,"1937",NA
"Mama Steps Out",NA,"1937",NA
"Man Bites Lovebug",NA,"1937",NA
"The Man Who Could Work Miracles",NA,"1936",NA
"The Man Who Cried Wolf",NA,"1937",NA
"The Man Without a Country",NA,"1937",NA
"Man of the People",NA,"1937",NA
"Manhattan Merry-Go-Round",NA,"1937",NA
"Der Mann, der Sherlock Holmes war",NA,"1937",NA
"Marked Woman",NA,"1937",NA
"Married Before Breakfast",NA,"1937",NA
